,layer,cat,parent
352,8,白菊木属,菊科
353,8,白刺菊属,菊科
354,8,疆菊属,菊科
355,8,画笔菊属,菊科
356,8,田基黄属,菊科
357,9,金鸡菊族,菊亚科
358,9,紫菀族,菊亚科
359,9,千里光族,菊亚科
360,9,向日葵族,菊亚科
361,9,鼠麴草族,菊亚科
362,8,瓜叶菊属,菊科
363,8,琉苞菊属,菊科
364,8,珀菊属,菊科
365,8,狗舌草属,菊科
366,8,狗娃花属,菊科
367,8,牛蒡属,菊科
368,9,菊苣族,舌状花亚科
369,9,斑鸠菊族,舌状花亚科
370,8,牛膝菊属,菊科
371,8,泥胡菜属,菊科
372,8,沼菊属,菊科
373,8,沙苦荬属,菊科
374,8,紫露草属,紫露草亚族
375,8,水飞蓟属,菊科
376,8,毛鳞菊属,菊科
377,8,毛连菜属,菊科
378,8,毛蕊菊属,菊科
379,8,毛菊属,菊科
380,8,母菊属,菊科
381,8,歧伞菊属,菊科
382,8,橐吾属,菊科
383,8,栓果菊属,菊科
384,8,栌菊木属,菊科
385,8,栉叶蒿属,菊科
386,8,杯菊属,菊科
387,9,菜蓟族,管状花亚科
388,9,泽兰族,管状花亚科
389,8,春黄菊属,菊科
390,8,旋覆花属,菊科
391,8,扁芒菊属,菊科
392,8,戴星草属,菊科
393,8,戟叶菊属,菊科
394,8,异裂菊属,菊科
395,8,异喙菊属,菊科
396,8,帚菊属,菊科
397,8,川木香属,菊科
398,8,岩参属,菊科
399,8,山黄菊属,菊科
400,8,山牛蒡属,菊科
401,10,大丽菊属,金鸡菊族
402,10,千里光属,千里光族
403,10,碱菀属,紫菀族
404,8,甜菊属,菊科
405,10,蝶须属,鼠麴草族
406,10,百日菊属,向日葵族
407,10,向日葵属,向日葵族
408,10,苍耳属,向日葵族
409,10,斑鸠菊属,斑鸠菊族
410,8,火绒草属,菊科
411,8,滨菊属,菊科
412,10,莴苣属,菊苣族
413,10,福王草属,菊苣族
414,10,盘果菊属,菊苣族
415,10,耳菊属,菊苣族
416,10,苦荬菜属,菊苣族
417,10,小苦荬属,菊苣族
418,10,菊苣属,菊苣族
419,10,纵脉菀属,紫菀族
420,8,山柳菊属,菊科
421,8,小舌菊属,菊科
422,8,小甘菊属,菊科
423,8,小滨菊属,菊科
424,8,款冬属,菊科
425,8,寡毛菊属,菊科
426,8,寒蓬属,菊科
427,8,婆罗门参属,菊科
428,8,女蒿属,菊科
429,8,头嘴菊属,菊科
430,8,太行菊属,菊科
431,8,天山蓍属,菊科
432,8,昭和草属,菊科
433,10,泽兰属,泽兰族
434,8,天名精属,菊科
435,8,天人菊属,菊科
436,8,大翅蓟属,菊科
437,8,大吴风草属,菊科
438,8,大丁草属,菊科
439,8,多榔菊属,菊科
440,8,复芒菊属,菊科
441,8,垂头菊属,菊科
442,8,地胆草属,菊科
443,8,喀什菊属,菊科
444,8,合苞草属,菊科
445,10,秋英属,金鸡菊族
446,8,合耳菊属,菊科
447,8,合头菊属,菊科
448,8,厚喙菊属,菊科
449,8,华蟹甲属,菊科
450,10,独毛金绒草属,鼠麴草族
451,8,半毛菊属,菊科
452,10,鳢肠亚族,向日葵族
453,10,紫锥花属,向日葵族
454,8,勋章菊属,菊科
455,8,剌苞菊属,菊科
456,8,刺苞果属,菊科
457,10,蒲公英属,菊苣族
458,8,刺头菊属,菊科
459,8,刺冠菊属,菊科
460,8,凤毛菊属,菊科
461,8,凋缨菊属,菊科
462,8,六棱菊属,菊科
463,8,兔儿风属,菊科
464,8,兔儿伞属,菊科
465,8,假还阳参属,菊科
466,8,假福王草属,菊科
467,8,假泽兰属,菊科
468,10,紫菀属,紫菀族
469,8,假小喙菊属,菊科
470,8,亚菊属,菊科
471,8,乳苣属,菊科
472,8,东风菜属,菊科
473,8,下田菊属,菊科
474,8,万寿菊属,菊科
475,8,一点红属,菊科
476,8,一枝黄花属,菊科
477,8,藏菊属,菊科
478,8,黄鹌菜属,菊科
479,8,野菊属,菊科
480,8,异型菊属,菊科
481,8,岩菊属,菊科
482,8,亚飞廉属,菊科
483,8,云木香属,菊科
484,8,香茹属,菊科
485,8,香泽兰属,菊科
486,8,线嘴苣属,菊科
487,8,絮菊属,菊科
488,8,斜果菊属,菊科
489,8,小葵子属,菊科
490,8,小疮菊属,菊科
491,8,紊蒿属,菊科
492,8,茼蒿属,菊科
493,8,头嘴苣属,菊科
494,8,兔苣属,菊科
495,8,赛菊芋属,菊科
496,8,松香草属,菊科
497,8,山芫荽属,菊科
498,8,匹菊属,菊科
499,8,三肋果属,菊科
500,8,肉菊属,菊科
501,8,球菊属,菊科
502,8,歧笔菊属,菊科
503,11,鳢肠属,鳢肠亚族
504,8,全光菊属,菊科
505,8,瓶头菊属,菊科
506,8,麻菀属,菊科
507,8,毛足菊属,菊科
508,11,莴苣,莴苣属
509,8,棉毛草属,菊科
510,8,木茼蒿属,菊科
511,8,联毛紫菀属,菊科
512,8,漏芦属,菊科
513,8,孔雀草属,菊科
514,8,金菀木属,菊科
515,8,寄树兰属,菊科
516,8,假藿香蓟属,菊科
517,8,假橐吾属,菊科
518,8,黄胶菊属,菊科
519,8,黄缨菊属,菊科
520,8,河西菊属,菊科
521,8,厚肋苦荬菜属,菊科
522,8,革苞菊属,菊科
523,8,果香菊属,菊科
524,8,堆心菊属,菊科
525,8,刺苞菊属,菊科
526,8,刺儿菜属,菊科
527,7,单室茱萸属,山茱萸科
528,7,山梅花属,绣球花科
529,7,黄山梅属,绣球花科
530,7,赤壁草属,绣球花科
531,7,常山属,绣球花科
532,7,叉叶蓝属,绣球花科
533,7,睡菜科,菊目
534,7,桔梗科,菊目
535,7,头花草科,菊目
536,7,卢梭木科,菊目
537,7,假海桐科,菊目
538,7,五膜草科,菊目
539,6,八角枫科,山茱萸目
540,6,假石南科,山茱萸目
541,6,花荵科,杜鹃花目
542,6,肋果茶科,杜鹃花目
543,11,孪花菊属,鳢肠亚族
544,11,南美蟛蜞菊属,鳢肠亚族
545,6,翅萼树科,杜鹃花目
546,6,福桂花科,杜鹃花目
547,6,猕猴桃科,杜鹃花目
548,8,猫腥菊属,菊科
549,6,水晶兰科,杜鹃花目
550,6,柿树科,杜鹃花目
551,6,杜茎山科,杜鹃花目
552,8,离药金药箭属,菊科
553,6,捕蝇幌科,杜鹃花目
554,6,报春花科,杜鹃花目
555,6,帽蕊草科,杜鹃花目
556,6,岩高兰科,杜鹃花目
557,8,金腰箭舅属,菊科
558,6,岩梅科,杜鹃花目
559,6,山茶科,杜鹃花目
560,6,山矾科,杜鹃花目
561,6,山榄科,杜鹃花目
562,6,山柳科,杜鹃花目
563,8,黄顶菊属,菊科
564,6,安息香科,杜鹃花目
565,8,厚敦菊属,菊科
566,8,鬼督邮属,菊科
567,6,四籽树科,杜鹃花目
568,6,厚皮香科,杜鹃花目
569,8,光冠菊属,菊科
570,6,凤仙花科,杜鹃花目
571,8,春黄菊族,菊科
572,6,假轮叶科,杜鹃花目
573,6,假红树科,杜鹃花目
574,6,假石南科,杜鹃花目
575,6,五列木科,杜鹃花目
576,6,越桔科,杜鹃花目
577,6,离水花科,桔梗类植物
578,6,楔蕊花科,桔梗类植物
579,6,弯药树科,桔梗类植物
580,6,川续断目,桔梗类植物
581,7,蓝果树属,蓝果树科
582,8,袋果草属,桔梗科
583,8,蓝花参属,桔梗科
584,8,细钟花属,桔梗科
585,8,沙参属,桔梗科
586,8,桔梗属,桔梗科
587,7,八角枫属,八角枫科
588,7,天蓝绣球属,花荵科
589,7,肋果茶属,肋果茶科
590,7,电灯花属,花荵科
591,8,山梗菜属,桔梗科
592,7,藤山柳属,猕猴桃科
593,7,水东哥属,猕猴桃科
594,6,杜鹃花科,杜鹃花目
595,7,柿树属,柿树科
596,7,柿属,柿树科
597,7,杜茎山属,杜茎山科
598,7,拟水晶兰属,水晶兰科
599,7,酸藤子属,报春花科
600,7,帽蕊草属,帽蕊草科
601,7,紫金牛属,报春花科
602,7,岩梅属,岩梅科
603,7,旃檀属,山茶科
604,7,紫茎属,山茶科
605,7,金叶树属,山榄科
